y,x,idea,beta,alpha,z_last,abs_z,adf_pval,nobs,bucket_y,bucket_x,is_bahrain_pair,is_ksa_pair,ksa_cross
PIFKSA 5 3/8 01/29/54,KSA 4 1/2 04/22/60,Long Y / Short X,1.01,5.39,2.49,2.49,0.1895,122,IG,IG,False,True,False
OMAN 6 1/2 03/08/47,OMAN 6 3/4 01/17/48,Long Y / Short X,0.95,2.98,2.39,2.39,0.0322,122,IG,IG,False,False,False
DPWDU 6.85 07/02/37,KSA 4 1/2 04/22/60,Long Y / Short X,1.42,-103.6,2.39,2.39,0.1427,122,QUASI,IG,False,True,True
ARAMCO 5 7/8 07/17/64,ADNOCM 5 1/8 09/11/54,Short Y / Long X,0.77,94.93,-2.38,2.38,0.0008,121,IG,IG,False,False,False
OMAN 5 5/8 01/17/28,QPETRO 1 3/8 09/12/26,Long Y / Short X,0.37,87.18,2.3,2.3,0.0418,122,IG,IG,False,False,False
KSA 5 1/4 01/16/50,ARAMCO 3 1/4 11/24/50,Short Y / Long X,0.9,10.89,-2.28,2.28,0.0952,122,IG,IG,False,True,True
PIFKSA 5 1/8 02/14/53,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.68,98.79,-2.27,2.27,0.1129,120,IG,QUASI,False,True,True
ARAMCO 6 3/8 06/02/55,KSA 5 1/4 01/16/50,Long Y / Short X,0.81,66.83,2.27,2.27,0.1977,122,IG,IG,False,True,True
ARAMCO 5 3/4 07/17/54,KSA 5 1/4 01/16/50,Long Y / Short X,0.99,30.32,2.25,2.25,0.1395,122,IG,IG,False,True,True
KSA 3 3/4 01/21/55,UAE 2 7/8 10/19/41,Short Y / Long X,0.86,85.92,-2.2,2.2,0.0119,122,IG,IG,False,True,True
KSA 5 01/18/53,ARAMCO 4 3/8 04/16/49,Short Y / Long X,1.0,9.66,-2.2,2.2,0.0161,122,IG,IG,False,True,True
ARAMCO 5 7/8 07/17/64,TAQAUH 3.4 04/29/51,Short Y / Long X,1.01,74.09,-2.2,2.2,0.1187,122,IG,QUASI,False,False,False
KSA 5 04/17/49,ARAMCO 4 3/8 04/16/49,Short Y / Long X,0.97,7.24,-2.14,2.14,0.0033,122,IG,IG,False,True,True
PIFKSA 5 1/8 02/14/53,KSA 3.45 02/02/61,Long Y / Short X,1.12,-20.57,2.14,2.14,0.044,121,IG,IG,False,True,False
ARAMCO 5 7/8 07/17/64,TAQAUH 4 3/4 03/09/37,Short Y / Long X,1.06,85.83,-2.14,2.14,0.0861,122,IG,QUASI,False,False,False
PIFKSA 5 1/8 02/14/53,KSA 4 1/2 04/22/60,Long Y / Short X,1.0,5.27,2.13,2.13,0.1785,121,IG,IG,False,True,False
KSA 4 5/8 10/04/47,ARAMCO 4 3/8 04/16/49,Short Y / Long X,0.96,7.79,-2.12,2.12,0.0,122,IG,IG,False,True,True
TAQAUH 4 3/4 03/09/37,KSA 3 1/4 11/17/51,Long Y / Short X,0.86,-27.04,2.12,2.12,0.0299,122,QUASI,IG,False,True,True
ARAMCO 5 3/8 06/02/35,KSA 5 04/17/49,Long Y / Short X,0.76,5.83,2.12,2.12,0.196,122,IG,IG,False,True,True
KSA 5 01/18/53,TAQAUH 4 3/4 03/09/37,Short Y / Long X,1.02,53.61,-2.11,2.11,0.002,122,IG,QUASI,False,True,True
KSA 5 04/17/49,TAQAUH 4 3/4 03/09/37,Short Y / Long X,0.99,49.66,-2.11,2.11,0.0335,122,IG,QUASI,False,True,True
PIFKSA 5 1/8 02/14/53,UAE 4.951 07/07/52,Short Y / Long X,0.88,81.49,-2.11,2.11,0.1632,121,IG,IG,False,True,True
KSA 4 5/8 10/04/47,TAQAUH 4 3/4 03/09/37,Short Y / Long X,0.98,49.93,-2.1,2.1,0.0001,122,IG,QUASI,False,True,True
KSA 5 1/2 10/25/32,KSA 4 1/2 04/17/30,Short Y / Long X,0.89,22.79,-2.1,2.1,0.0368,122,IG,IG,False,True,False
DPWDU 5 5/8 09/25/48,KSA 3.45 02/02/61,Long Y / Short X,1.43,-86.42,2.1,2.1,0.1301,122,QUASI,IG,False,True,True
PIFKSA 5 3/8 10/13/2122,TAQAUH 6 1/2 10/27/36,Short Y / Long X,0.92,136.5,-2.09,2.09,0.0517,122,IG,QUASI,False,True,True
PIFKSA 5 3/8 10/13/2122,DPWDU 4.7 09/30/49,Short Y / Long X,0.72,108.49,-2.09,2.09,0.0792,122,IG,QUASI,False,True,True
KSA 5 1/2 10/25/32,TAQAUH 4 3/4 03/09/37,Short Y / Long X,0.74,11.07,-2.09,2.09,0.1278,122,IG,QUASI,False,True,True
KSA 5 1/4 01/16/50,KSA 4 1/2 04/22/60,Long Y / Short X,1.04,-24.83,2.08,2.08,0.0054,122,IG,IG,False,True,False
DPWDU 4.7 09/30/49,KUWIB 4.652 10/09/35,Long Y / Short X,1.84,-9.97,2.08,2.08,0.0158,122,QUASI,IG,False,False,False
DPWDU 5 5/8 09/25/48,KSA 4 5/8 10/04/47,Long Y / Short X,1.44,-61.35,2.08,2.08,0.0834,122,QUASI,IG,False,True,True
KSA 3 3/4 01/21/55,TAQAUH 4 3/4 03/09/37,Short Y / Long X,0.96,62.33,-2.07,2.07,0.0013,122,IG,QUASI,False,True,True
KSA 4 5/8 10/04/47,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.63,83.86,-2.06,2.06,0.0086,121,IG,QUASI,False,True,True
PIFKSA 5 3/8 10/13/2122,TAQAUH 3.4 04/29/51,Short Y / Long X,1.0,97.04,-2.06,2.06,0.0808,122,IG,QUASI,False,True,True
ARAMCO 5 3/8 06/02/35,KSA 4 5/8 10/04/47,Long Y / Short X,0.77,4.73,2.06,2.06,0.1876,122,IG,IG,False,True,True
ARAMCO 5 7/8 07/17/64,TAQAUH 4.696 04/24/33,Short Y / Long X,0.86,125.55,-2.05,2.05,0.0131,121,IG,QUASI,False,False,False
KSA 5 1/4 01/16/50,DPWDU 6.85 07/02/37,Short Y / Long X,0.66,62.38,-2.05,2.05,0.051,122,IG,QUASI,False,True,True
ESCWPC 4.45 08/01/35,KUWIB 4.652 10/09/35,Long Y / Short X,2.1,-63.64,2.05,2.05,0.0659,122,OTHER,IG,False,False,False
OMAN 5 3/8 03/08/27,KSA 2 1/2 02/03/27,Long Y / Short X,0.48,71.45,2.05,2.05,0.121,122,IG,IG,False,True,True
KSA 3.45 02/02/61,UAE 2 7/8 10/19/41,Short Y / Long X,0.76,105.8,-2.05,2.05,0.1993,122,IG,IG,False,True,True
PIFKSA 4 7/8 02/14/35,DPWDU 4.7 09/30/49,Short Y / Long X,0.53,36.94,-2.04,2.04,0.1552,122,IG,QUASI,False,True,True
PIFKSA 5 3/8 01/29/54,KSA 5 1/4 01/16/50,Long Y / Short X,0.95,32.03,2.04,2.04,0.1665,122,IG,IG,False,True,False
KSA 5 04/17/49,ADNOCM 5 1/8 09/11/54,Short Y / Long X,0.71,59.08,-2.03,2.03,0.0379,121,IG,IG,False,True,True
KSA 5 1/2 10/25/32,DPWDU 5 1/4 12/24/29,Short Y / Long X,0.47,37.89,-2.03,2.03,0.0656,121,IG,QUASI,False,True,True
KSA 5 1/2 10/25/32,QATAR 6.4 01/20/40,Short Y / Long X,1.17,-16.36,-2.03,2.03,0.071,122,IG,IG,False,True,True
OMAN 6 3/4 01/17/48,ESCWPC 4.45 08/01/35,Short Y / Long X,0.47,124.06,-2.03,2.03,0.0914,122,IG,OTHER,False,False,False
KSA 5 01/18/53,DPWDU 5 5/8 09/25/48,Short Y / Long X,0.65,58.73,-2.02,2.02,0.0358,122,IG,QUASI,False,True,True
DPWDU 5 5/8 09/25/48,KSA 5 04/17/49,Long Y / Short X,1.42,-60.17,2.02,2.02,0.0754,122,QUASI,IG,False,True,True
OMAN 6 1/4 01/25/31,KSA 4 1/2 04/22/60,Long Y / Short X,0.7,-6.32,2.02,2.02,0.1806,122,IG,IG,False,True,True
ARAMCO 4 3/4 06/02/30,KUWIB 4.652 10/09/35,Long Y / Short X,1.1,-8.94,2.01,2.01,0.0724,122,IG,IG,False,False,False
ARAMCO 4 3/8 04/16/49,KSA 3 1/4 11/17/51,Long Y / Short X,0.91,10.99,2.01,2.01,0.0826,122,IG,IG,False,True,True
PIFKSA 5 1/4 10/13/32,TAQAUH 6 1/2 10/27/36,Short Y / Long X,0.86,28.13,-2.0,2.0,0.0004,122,IG,QUASI,False,True,True
KSA 3 3/4 01/21/55,ADNOCM 5 1/8 09/11/54,Short Y / Long X,0.68,71.91,-2.0,2.0,0.0097,121,IG,IG,False,True,True
KSA 3 3/4 01/21/55,ARAMCO 4 3/8 04/16/49,Short Y / Long X,0.94,20.56,-2.0,2.0,0.036,122,IG,IG,False,True,True
